6,0,19,13,0,4,5,14,379,42,0,1,30,1,3,2,0,12,0,0,0,23,16,6,15,1,23,8,17,22,13,6,404,9,4,12,31,6,3,0,1,28,20,3,24,5,7,0,10,2,6,5,5,29,23,14,1,1,0,3,0,1,0,39,17,16,7,0,18,8,0,5,0,0,23,3,12,10,4,8,22,19,27,5,0,22,11,8,4,10,4,18,6,8,7,11,0,12,7,1
1,1,2,3,0,0,3,1,590,7,0,0,2,26,1,1,0,6,0,1,0,2,2,1,0,1,0,1,3,2,4,0,587,3,0,4,6,1,1,6,2,1,2,0,3,0,4,0,6,0,2,0,2,4,10,1,4,3,0,7,1,3,11,0,1,0,1,9,0,1,0,0,0,1,0,0,18,11,5,2,0,1,4,2,3,3,6,0,2,2,1,1,0,3,6,4,0,1,6,0
2,7,2,6,1,10,2,25,653,3,5,1,4,29,11,15,44,2,0,1,0,3,13,0,4,21,7,2,10,1,0,4,305,350,9,2,25,7,8,8,1,6,2,0,0,0,8,0,14,9,8,8,0,39,3,11,12,5,10,3,0,7,0,0,7,37,1,1,1,4,2,1,0,1,5,2,1,4,9,2,0,4,1,5,14,9,148,1,5,1,0,26,3,19,3,3,0,2,4,1
5,2,2,5,5,5,7,5,482,6,0,1,10,0,0,4,0,10,1,0,1,12,0,6,5,159,16,11,11,93,2,4,493,6,0,4,18,10,20,0,1,9,8,1,13,0,14,0,2,7,4,3,9,170,6,2,0,7,1,1,0,2,0,7,5,158,3,0,7,5,0,10,2,7,93,160,4,10,5,9,3,10,7,160,1,23,88,3,7,5,14,165,7,11,12,5,0,3,14,1
2,1,4,8,0,1,2,6,292,5,0,0,10,1,0,1,0,4,0,0,0,7,3,1,3,0,11,6,15,4,3,3,284,9,0,2,21,4,0,0,2,9,5,1,16,1,5,0,4,1,5,3,5,17,11,4,1,2,1,10,0,7,0,5,10,29,2,0,4,2,0,2,1,4,7,1,5,20,5,3,8,5,8,3,0,9,68,3,1,6,4,5,4,6,3,0,0,3,6,4
8,1,5,16,3,0,5,20,788,30,0,2,14,0,0,9,0,9,0,0,0,6,0,9,18,37,24,3,10,4,5,0,777,52,0,6,24,10,2,1,2,19,22,0,11,0,12,0,3,1,7,0,4,48,69,5,0,2,0,2,0,4,0,8,12,303,6,0,9,1,0,7,5,7,44,8,1,15,4,8,6,5,5,11,7,10,16,49,5,6,8,7,8,4,10,5,0,6,14,46
8,0,13,6,0,7,3,6,536,7,0,0,9,3,1,5,0,10,1,0,0,7,29,5,13,7,17,3,21,16,2,9,516,29,0,13,23,5,0,1,1,9,24,2,2,0,20,0,13,14,4,16,11,33,15,3,2,11,11,3,0,20,0,13,11,134,22,0,14,13,0,9,3,12,8,4,4,25,8,8,14,13,11,4,0,29,118,29,8,19,5,9,9,20,16,4,0,18,20,3
8,2,12,11,39,4,15,2,179,12,0,1,23,0,2,0,1,23,0,0,0,14,0,7,13,9,34,12,20,15,5,2,169,18,1,3,65,12,0,1,6,27,27,5,16,0,18,0,3,3,1,4,20,24,25,5,0,29,0,2,0,21,0,17,27,86,15,0,16,2,0,8,3,14,25,4,21,9,8,29,7,11,11,4,1,20,8,2,10,18,8,15,6,16,2,9,0,4,33,0
7,0,2,6,0,9,3,21,404,7,0,0,4,36,0,6,0,7,0,33,0,6,4,0,6,1,11,6,10,18,4,2,393,11,3,5,21,12,7,13,0,11,3,0,4,0,3,0,1,1,9,0,8,22,10,2,0,5,1,3,0,3,8,3,2,4,2,0,0,4,0,2,3,2,1,0,2,9,3,5,5,3,1,0,20,20,11,2,5,9,0,2,1,12,2,3,0,6,9,0
3,0,17,7,0,1,19,6,307,9,0,0,27,0,0,0,0,15,0,0,0,16,0,14,22,0,32,36,23,11,5,3,286,23,0,10,33,9,1,0,1,15,10,5,9,1,6,0,6,4,3,3,9,19,31,2,0,9,2,1,0,4,0,6,10,35,7,0,19,2,0,10,1,11,15,7,12,20,5,5,8,23,13,3,1,14,7,10,8,15,7,6,15,19,1,8,1,20,12,0
19,0,4,21,3,61,3,3,569,2,0,1,6,0,1,4,0,11,1,0,0,27,1,1,6,5,27,5,5,12,9,59,563,9,0,4,18,12,0,0,20,12,11,1,4,0,35,0,3,23,6,18,15,31,6,2,0,20,1,0,0,1,0,19,13,31,4,0,4,17,53,11,3,9,15,12,13,46,12,3,5,9,5,11,1,22,9,31,12,52,0,6,13,20,6,0,0,3,26,2
0,0,2,1,2,2,2,2,67,5,0,0,6,0,1,0,0,4,0,0,0,2,1,2,1,2,2,5,3,2,7,3,71,0,0,1,6,2,0,0,2,4,3,0,0,0,4,0,6,6,1,4,3,7,4,3,0,1,0,1,0,1,0,4,3,43,4,0,0,4,2,2,0,2,0,0,1,6,4,6,2,3,5,2,0,7,4,0,0,3,2,1,1,3,3,3,0,7,7,0
11,1,10,13,2,8,5,3,271,7,0,1,11,0,0,4,0,19,3,2,0,18,8,3,4,3,20,4,16,10,5,7,247,27,0,4,37,12,1,0,1,24,21,0,10,1,25,0,8,13,4,8,9,13,12,6,1,11,0,2,0,4,0,17,6,51,6,0,15,4,4,8,5,5,27,6,17,10,9,27,12,20,18,4,2,27,7,7,6,7,9,8,5,11,8,10,0,14,26,0
0,1,0,2,0,0,1,2,41,3,0,0,3,0,0,15,0,2,0,0,0,3,0,0,1,1,7,1,5,13,2,2,33,8,0,0,5,4,1,2,0,2,4,0,3,5,2,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,1,0,3,3,1,0,6,0,0,0,0,1,13,0,0,0,1,3,3,2,2,1,1,7,5,3,0,2,0,0,2,2,1,1,0,0,1,0
5,0,19,5,1,3,18,7,78,23,0,0,25,0,0,4,0,34,0,0,0,17,2,9,7,4,33,31,23,7,8,3,79,0,0,4,129,50,0,0,0,29,24,1,13,0,19,0,3,0,24,2,23,17,33,10,1,15,1,2,0,13,0,12,23,71,14,0,13,3,0,9,0,13,41,24,54,7,20,27,11,14,10,4,0,42,5,0,13,13,11,7,5,19,1,20,0,15,28,0
0,0,0,0,0,1,0,21,39,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,36,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,2,3,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2,5,5,3,6,9,3,432,3,0,3,25,0,0,3,0,10,0,0,0,6,6,2,8,8,12,1,11,24,16,19,314,121,0,4,28,15,1,0,5,15,6,0,11,0,25,0,4,13,10,10,14,9,80,4,1,7,0,3,0,6,0,13,12,71,7,0,1,16,140,7,66,4,39,3,7,26,10,10,15,9,6,3,0,26,119,5,5,15,5,8,7,12,6,11,0,3,33,0
1,22,0,0,1,0,2,0,157,2,47,0,2,206,19,0,2,6,112,86,129,1,4,2,0,1,2,0,0,0,0,0,111,46,0,1,9,1,128,43,0,3,0,50,5,0,0,0,4,0,11,0,0,1,1,0,56,0,0,0,41,2,185,3,0,47,0,41,4,0,0,1,0,0,1,0,2,6,0,1,3,1,0,0,125,0,0,5,1,0,0,0,1,1,0,0,2,1,12,0
14,4,3,37,117,112,2,1,545,14,1,4,6,1,2,0,0,5,0,14,0,18,0,1,2,8,35,3,6,18,7,33,436,119,0,4,17,6,0,0,0,7,4,3,1,0,15,0,6,4,5,1,10,16,12,2,0,19,1,1,0,3,0,7,19,140,10,0,6,5,0,7,8,12,7,6,3,44,6,4,1,13,12,22,7,14,27,2,4,10,4,25,3,23,6,1,0,7,8,3
0,1,13,6,58,3,11,7,323,9,0,1,29,11,1,4,0,10,2,3,0,7,2,12,15,3,25,14,15,6,9,3,354,3,0,8,55,11,2,1,3,11,14,1,27,30,15,0,3,4,7,1,10,30,18,0,0,1,0,19,0,6,1,9,20,19,4,0,16,1,0,13,4,10,9,1,6,13,11,10,4,15,46,0,4,13,7,3,10,7,3,40,2,13,5,5,1,12,11,0
0,0,2,2,3,0,0,2,59,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,59,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1
