1,26,22,0,19,127,33,22,24,27,6,0,30,16,25,563,28,0,4,20,8,0,0,0,90,38,15,31,0,21,11,29,23,12,516,47,15,67,83,68,40,12,0,6,31,19,9,1,33,1,11,82,13,14,30,4,92,80,17,20,19,25,7,11,0,16,24,8,26,1,0,23,0,26,37,223,26,11,93,11,159,21,3,0,35,1,5,2,24,31,22,18,8,5,13,42,11,3,103,37
2,4,5,8,9,26,10,4,19,13,1,4,2,8,14,157,3,0,2,10,2,0,0,5,20,9,4,2,8,3,3,4,2,5,109,55,11,28,22,18,3,2,0,1,5,4,2,3,3,1,6,9,3,3,5,1,23,22,3,3,1,10,3,0,0,0,26,4,4,1,10,1,0,2,5,58,1,3,6,7,54,0,5,0,4,0,8,0,5,5,7,6,3,4,5,13,4,5,19,10
3,3,7,6,2,18,5,8,123,4,0,0,1,6,5,266,10,1,0,0,0,13,0,2,27,9,5,6,0,4,1,8,1,3,55,215,3,129,18,20,8,1,0,8,2,1,0,0,5,0,4,5,9,1,4,2,25,6,9,1,5,1,3,4,0,0,66,0,4,0,0,0,1,3,7,56,4,3,9,5,27,3,1,0,4,2,2,0,0,4,5,2,0,1,2,8,0,0,13,6
2,38,21,25,40,80,46,32,20,35,7,1,33,30,16,445,6,1,2,10,14,0,2,10,61,18,5,12,23,16,17,26,8,20,429,45,17,129,119,69,14,10,1,3,6,9,12,2,11,8,24,24,13,12,30,12,157,65,21,11,29,7,14,2,0,9,236,7,27,11,2,9,1,5,53,303,17,12,57,10,131,12,22,1,11,16,36,5,27,52,24,3,9,18,25,32,2,9,56,14
1,5,1,3,1,4,0,0,4,1,0,0,4,6,2,44,0,1,1,0,2,0,0,0,6,2,3,2,0,3,0,1,0,1,38,10,1,12,4,1,2,0,0,1,0,1,1,0,0,3,2,1,1,1,0,2,5,4,0,1,0,2,1,0,0,1,26,0,4,0,0,1,0,1,0,15,0,1,0,0,10,2,1,0,0,0,1,0,4,1,0,0,0,0,0,1,0,1,5,2
3,1,0,3,1,1,1,0,0,0,4,0,0,2,1,324,1,108,0,2,1,0,90,1,2,0,0,1,0,0,0,1,0,14,315,9,1,64,65,4,0,1,0,3,1,0,0,1,2,2,2,0,7,2,4,0,15,10,2,3,0,1,2,0,0,1,14,1,3,0,0,0,0,0,2,7,1,2,7,2,9,1,9,0,2,0,10,2,20,15,3,1,2,0,0,2,2,0,7,9
12,15,15,1,17,62,31,12,17,25,6,46,8,62,19,509,6,1,17,21,14,0,0,8,63,27,15,10,11,9,9,20,8,46,507,3,13,87,68,49,10,15,1,16,16,6,8,17,9,0,22,16,19,12,19,11,117,52,12,7,5,18,9,2,0,14,21,4,10,5,20,4,1,4,29,222,3,8,27,14,178,0,9,1,13,5,27,5,7,22,42,8,12,24,13,24,14,19,89,69
13,20,14,114,17,18,72,29,32,43,20,21,10,19,48,1035,8,0,22,22,5,0,0,7,130,38,12,5,14,30,8,18,65,61,1031,3,4,107,80,21,4,21,0,2,9,2,13,55,0,9,33,0,43,10,12,4,129,57,5,5,50,30,2,0,0,14,21,5,6,21,86,7,2,22,33,202,3,9,49,8,222,8,6,0,12,26,65,15,3,45,36,13,13,24,49,51,7,6,75,89
1,6,18,7,22,64,30,22,32,17,11,2,11,16,12,322,6,0,0,8,8,0,1,2,147,22,6,3,1,7,9,11,3,8,242,80,15,64,48,37,14,7,0,33,10,6,5,0,90,8,8,106,15,9,18,6,122,47,10,8,5,11,4,72,0,2,22,6,17,0,0,6,0,84,16,167,5,13,16,8,107,4,0,0,6,9,11,21,11,13,26,14,11,8,12,33,10,6,97,24
9,25,11,3,24,84,38,20,33,34,13,20,17,26,28,409,7,0,4,31,15,0,0,3,96,35,10,21,12,9,5,27,10,48,472,47,12,130,82,66,16,6,1,7,8,2,13,38,6,6,24,12,28,8,29,18,99,58,19,24,23,23,13,3,0,23,45,9,19,5,0,7,3,9,35,266,10,13,24,9,153,9,4,2,13,10,141,16,4,48,34,13,14,14,18,42,3,7,93,91
7,22,18,13,15,58,34,8,51,22,16,2,9,15,20,317,13,2,0,8,8,0,0,7,69,30,14,8,3,11,8,11,9,24,284,46,20,71,101,55,27,16,1,8,19,15,8,4,23,17,20,33,11,17,28,25,58,60,4,4,9,12,6,2,0,10,190,11,19,19,0,6,0,12,52,210,13,11,53,11,148,13,3,0,14,8,9,2,10,27,20,8,12,7,15,39,11,2,83,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,4,6,9,25,5,13,32,6,2,4,3,8,4,290,4,1,0,1,3,0,0,25,38,9,5,0,25,10,5,3,4,11,287,5,3,60,22,12,47,1,1,3,6,3,4,12,2,8,4,3,13,2,1,3,52,55,2,4,3,4,2,1,0,2,45,2,1,10,3,1,3,2,6,92,0,2,2,3,56,3,22,0,5,2,128,2,5,2,5,3,4,2,10,19,2,6,14,17
11,17,16,22,19,125,42,5,50,23,9,19,10,38,29,511,9,0,5,17,6,0,0,7,108,34,12,10,5,26,5,20,9,24,415,91,32,107,140,58,10,6,0,1,17,5,11,296,17,18,27,26,23,4,22,6,128,77,16,15,19,98,9,7,1,5,78,7,9,25,2,10,46,10,31,217,4,11,30,13,187,13,4,1,20,8,60,6,10,31,30,10,16,16,13,46,11,8,89,53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,3,2,5,31,14,6,6,9,12,5,4,5,11,179,3,206,5,9,5,124,195,8,22,0,3,2,7,2,2,7,1,19,204,1,7,25,26,18,3,3,125,2,6,2,4,45,55,9,6,0,9,94,9,0,32,12,6,3,3,6,13,1,140,6,173,1,5,10,20,1,0,0,20,77,4,1,3,6,60,2,13,52,2,1,10,2,2,18,8,9,5,7,3,7,4,2,33,20
8,8,3,4,8,34,10,4,19,12,4,4,3,15,9,359,3,2,25,57,7,0,0,9,33,10,4,7,4,3,4,7,6,9,287,60,3,31,39,22,9,1,2,2,4,1,1,2,11,1,5,6,4,14,13,9,41,16,8,6,1,18,7,0,0,4,171,0,9,1,0,1,0,2,8,96,4,2,16,4,147,3,3,0,7,0,25,0,5,11,10,4,9,5,9,12,4,4,23,14
7,11,5,5,6,39,13,1,56,11,2,2,2,11,11,256,5,1,3,4,9,3,0,7,37,6,4,11,5,3,4,6,2,7,201,61,4,58,33,28,21,11,0,4,13,5,4,0,11,1,5,8,5,8,8,8,32,29,12,5,4,8,10,11,0,4,148,3,3,1,0,5,0,2,20,84,6,7,7,6,52,1,9,0,8,3,23,2,4,13,8,10,3,7,5,7,4,6,52,15
3,13,24,35,14,51,14,18,44,28,20,0,14,20,24,323,20,0,0,11,17,0,0,1,81,25,21,22,0,11,8,22,14,19,289,55,21,64,66,67,32,7,2,5,23,9,7,5,40,4,12,45,10,17,26,14,91,60,28,11,16,19,4,8,0,15,104,13,31,2,2,11,1,9,85,204,11,11,75,16,112,8,4,0,17,7,0,7,43,24,24,13,11,1,12,42,1,10,92,20
0,8,23,38,21,211,48,3,139,46,1,4,4,28,13,590,14,0,0,31,15,0,0,0,120,18,87,3,0,45,2,32,6,7,547,43,3,86,66,65,5,2,0,15,3,10,24,0,2,0,4,11,37,12,4,31,107,42,2,2,55,32,0,0,0,4,97,7,7,1,0,6,0,9,59,171,2,8,35,11,233,45,0,0,44,17,5,3,4,45,48,9,3,4,9,12,1,8,74,130
11,12,9,15,19,65,19,17,42,21,3,6,10,29,21,442,8,4,5,13,6,0,0,13,60,23,12,7,28,3,10,11,8,17,449,4,10,81,42,30,24,4,0,8,6,5,10,5,6,10,18,14,41,6,15,8,88,56,17,9,12,23,5,18,0,6,210,2,3,15,2,6,8,0,15,228,2,7,25,8,137,10,9,0,13,1,43,14,10,14,24,8,11,11,29,43,6,7,58,34
16,6,1,7,2,2,2,1,7,11,2,8,5,3,6,463,3,240,1,4,2,0,88,35,15,2,2,2,22,3,1,4,1,5,408,64,4,12,14,15,2,3,132,1,1,1,2,9,7,3,2,4,6,1,5,4,16,20,2,2,4,1,2,4,35,3,83,0,1,5,11,2,0,8,4,34,2,1,4,1,21,2,13,60,6,1,93,5,1,5,4,1,3,3,5,7,3,1,18,6
3,36,32,20,27,112,21,27,93,32,7,8,20,45,25,324,14,4,2,23,10,0,4,7,128,43,25,13,4,31,12,29,25,29,305,32,12,101,75,97,46,12,2,6,16,11,11,14,26,2,18,47,24,6,21,13,93,80,14,13,17,44,11,18,0,17,91,18,10,2,0,23,0,29,47,244,25,12,51,27,213,11,4,1,24,10,22,4,17,26,30,11,8,6,9,66,16,4,101,45
11,7,4,4,0,12,3,2,4,4,12,1,1,6,2,505,4,5,0,52,2,4,0,1,14,2,1,0,2,3,4,4,3,2,482,34,0,27,9,7,1,2,0,0,0,0,0,4,3,3,1,8,8,3,2,1,13,7,1,1,4,4,1,0,0,1,127,1,2,3,0,0,0,0,1,41,0,2,2,4,26,3,1,0,0,0,8,5,1,7,4,0,0,0,3,8,0,4,7,2
8,5,5,10,6,57,11,7,20,6,2,2,9,12,3,620,26,82,0,7,0,37,45,0,25,18,1,1,2,5,4,2,2,4,620,8,3,66,27,17,12,5,49,6,6,4,3,0,10,0,8,23,18,16,11,3,39,27,12,3,6,3,3,3,23,3,38,1,2,1,0,5,0,6,12,92,3,4,22,6,42,5,3,19,5,2,7,3,7,8,11,6,8,3,2,17,4,5,40,8
5,13,13,52,10,49,20,13,6,23,6,7,11,9,25,466,7,183,0,13,19,0,39,33,43,15,5,7,7,13,6,18,6,9,414,51,8,48,74,34,8,1,190,13,6,16,5,21,13,26,4,22,10,8,24,6,52,27,16,5,19,4,14,9,19,4,203,5,7,25,2,1,0,2,14,144,5,6,6,5,129,3,8,35,10,21,7,0,2,38,29,10,8,7,14,32,4,7,91,50
3,15,26,42,10,97,19,9,89,21,9,12,10,15,20,683,15,0,1,22,10,0,0,37,94,26,29,4,11,17,7,34,23,20,383,299,14,232,42,51,9,11,0,4,10,25,3,2,29,21,30,56,36,11,11,15,85,61,15,21,12,40,8,21,0,11,14,15,14,88,41,16,3,16,18,152,7,4,37,27,153,21,16,2,35,18,7,6,15,20,24,11,15,4,13,58,4,0,98,65
3,4,1,1,2,73,5,1,9,5,1,9,3,2,0,97,0,0,0,2,6,0,0,2,9,2,5,1,0,0,0,4,0,3,97,1,5,6,11,7,2,1,0,0,3,0,4,2,1,1,4,3,0,6,3,0,18,10,3,1,2,6,2,0,0,3,7,0,3,1,2,2,0,0,7,29,1,3,1,2,24,0,0,0,3,0,2,0,0,1,2,2,1,1,5,3,5,0,16,23
